dataset,risk,cal_fraction,n_cal,n_test,gain,harm,worst_drop,harmed_rate,revert_rate,action
isic2018_task1,geom,0.10,100,900,+0.0000,0.0000,-0.0014,0.026,0.916,isic2018_task1:binary_morph:a11.00
isic2018_task1,geom,0.20,200,800,+0.0000,0.0000,-0.0014,0.075,0.720,isic2018_task1:binary_morph:a7.00
isic2018_task1,geom,0.35,350,650,+0.0097,0.0097,-0.4434,0.197,0.074,isic2018_task1:binary_morph:a9.00
isic2018_task1,geom,0.50,500,500,+0.0117,0.0040,-0.2927,0.170,0.212,isic2018_task1:binary_morph:a11.00
isic2018_task1,geom,0.70,700,300,+0.0128,0.0036,-0.2927,0.160,0.197,isic2018_task1:binary_morph:a11.00
kvasir_seg_endo_graphseg_e120,geom,0.10,15,135,+0.0000,0.0000,+0.0000,0.000,1.000,host
kvasir_seg_endo_graphseg_e120,geom,0.20,30,120,+0.0000,0.0000,+0.0000,0.000,1.000,host
kvasir_seg_endo_graphseg_e120,geom,0.35,52,98,+0.0000,0.0000,+0.0000,0.000,1.000,host
kvasir_seg_endo_graphseg_e120,geom,0.50,75,75,+0.0095,0.0016,-0.0917,0.040,0.707,kvasir_seg_endo_graphseg_e120:binary_morph:a5.00
kvasir_seg_endo_graphseg_e120,geom,0.70,105,45,+0.0047,0.0086,-0.1444,0.111,0.511,kvasir_seg_endo_graphseg_e120:binary_morph:a7.00
kvasir_seg_endo_unet_e120,geom,0.10,15,135,+0.0000,0.0000,+0.0000,0.000,1.000,host
kvasir_seg_endo_unet_e120,geom,0.20,30,120,+0.0000,0.0000,+0.0000,0.000,1.000,host
kvasir_seg_endo_unet_e120,geom,0.35,52,98,+0.0000,0.0000,+0.0000,0.000,1.000,host
kvasir_seg_endo_unet_e120,geom,0.50,75,75,+0.0000,0.0000,+0.0000,0.040,0.907,kvasir_seg_endo_unet_e120:binary_morph:a11.00
kvasir_seg_endo_unet_e120,geom,0.70,105,45,+0.0000,0.0000,-0.0013,0.111,0.800,kvasir_seg_endo_unet_e120:binary_morph:a7.00
ph2_unet_e120,geom,0.10,3,27,+0.0000,0.0000,+0.0000,0.000,1.000,host
ph2_unet_e120,geom,0.20,6,24,+0.0000,0.0000,+0.0000,0.000,1.000,host
ph2_unet_e120,geom,0.35,10,20,+0.0000,0.0000,+0.0000,0.000,1.000,host
ph2_unet_e120,geom,0.50,15,15,+0.0000,0.0000,+0.0000,0.000,1.000,host
ph2_unet_e120,geom,0.70,21,9,+0.0000,0.0000,+0.0000,0.000,1.000,host
