dataset,mode,risk,gain_CI,harm_CI,worst_drop_CI,harmed_rate_CI,revert_rate_CI,action
isic2018_task1_mediafinal_unet_e120,practical,change_plus_geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.016 [0.006, 0.028]","0.950 [0.932, 0.968]",isic2018_task1_mediafinal_unet_e120:binary_morph:a5.00
isic2018_task1_mediafinal_unet_e120,practical,changed,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","-0.0013 [-0.0013, +0.0000]","0.022 [0.010, 0.036]","0.948 [0.928, 0.968]",isic2018_task1_mediafinal_unet_e120:binary_morph:a11.00
isic2018_task1_mediafinal_unet_e120,practical,geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.020 [0.008, 0.034]","0.938 [0.918, 0.958]",isic2018_task1_mediafinal_unet_e120:binary_morph:a5.00
isic2018_task1_mediafinal_unet_e120,strict,change_plus_geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
isic2018_task1_mediafinal_unet_e120,strict,changed,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
isic2018_task1_mediafinal_unet_e120,strict,geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
isic2018_task1_mediafinal_unet_e120_zoo,practical,change_plus_geom,"+0.0030 [+0.0013, +0.0049]","0.0009 [0.0000, 0.0018]","-0.1519 [-0.1519, -0.0322]","0.158 [0.126, 0.190]","0.148 [0.118, 0.180]",isic2018_task1_mediafinal_unet_e120_zoo:largest_cc:a0.00
isic2018_task1_mediafinal_unet_e120_zoo,practical,changed,"+0.0033 [+0.0015, +0.0055]","0.0015 [0.0008, 0.0024]","-0.1519 [-0.1519, -0.0609]","0.218 [0.182, 0.256]","0.032 [0.018, 0.048]",isic2018_task1_mediafinal_unet_e120_zoo:largest_cc:a0.00
isic2018_task1_mediafinal_unet_e120_zoo,practical,geom,"+0.0030 [+0.0013, +0.0049]","0.0009 [0.0000, 0.0018]","-0.1519 [-0.1519, -0.0322]","0.158 [0.126, 0.190]","0.152 [0.122, 0.184]",isic2018_task1_mediafinal_unet_e120_zoo:largest_cc:a0.00
isic2018_task1_mediafinal_unet_e120_zoo,strict,change_plus_geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
isic2018_task1_mediafinal_unet_e120_zoo,strict,changed,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
isic2018_task1_mediafinal_unet_e120_zoo,strict,geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
kvasir_seg_mediafinal_graphseg_e120,practical,change_plus_geom,"+0.0018 [-0.0016, +0.0050]","0.0016 [0.0000, 0.0044]","-0.0919 [-0.0919, +0.0000]","0.040 [0.000, 0.093]","0.733 [0.627, 0.840]",kvasir_seg_mediafinal_graphseg_e120:binary_morph:a5.00
kvasir_seg_mediafinal_graphseg_e120,practical,changed,"+0.0007 [+0.0000, +0.0017]","0.0000 [0.0000, 0.0000]","-0.0047 [-0.0047, +0.0000]","0.027 [0.000, 0.067]","0.907 [0.840, 0.973]",kvasir_seg_mediafinal_graphseg_e120:binary_morph:a11.00
kvasir_seg_mediafinal_graphseg_e120,practical,geom,"+0.0095 [+0.0000, +0.0227]","0.0016 [0.0000, 0.0044]","-0.0919 [-0.0919, +0.0000]","0.040 [0.000, 0.093]","0.707 [0.600, 0.813]",kvasir_seg_mediafinal_graphseg_e120:binary_morph:a5.00
kvasir_seg_mediafinal_graphseg_e120,strict,change_plus_geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
kvasir_seg_mediafinal_graphseg_e120,strict,changed,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
kvasir_seg_mediafinal_graphseg_e120,strict,geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
kvasir_seg_mediafinal_graphseg_e120_zoo,practical,change_plus_geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
kvasir_seg_mediafinal_graphseg_e120_zoo,practical,changed,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
kvasir_seg_mediafinal_graphseg_e120_zoo,practical,geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
kvasir_seg_mediafinal_graphseg_e120_zoo,strict,change_plus_geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
kvasir_seg_mediafinal_graphseg_e120_zoo,strict,changed,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
kvasir_seg_mediafinal_graphseg_e120_zoo,strict,geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
kvasir_seg_mediafinal_unet_e120,practical,change_plus_geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.040 [0.000, 0.093]","0.907 [0.840, 0.973]",kvasir_seg_mediafinal_unet_e120:binary_morph:a11.00
kvasir_seg_mediafinal_unet_e120,practical,changed,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","-0.0006 [-0.0006, +0.0000]","0.040 [0.000, 0.093]","0.920 [0.853, 0.973]",kvasir_seg_mediafinal_unet_e120:binary_morph:a7.00
kvasir_seg_mediafinal_unet_e120,practical,geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.040 [0.000, 0.093]","0.907 [0.840, 0.973]",kvasir_seg_mediafinal_unet_e120:binary_morph:a11.00
kvasir_seg_mediafinal_unet_e120,strict,change_plus_geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
kvasir_seg_mediafinal_unet_e120,strict,changed,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
kvasir_seg_mediafinal_unet_e120,strict,geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
kvasir_seg_mediafinal_unet_e120_zoo,practical,change_plus_geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
kvasir_seg_mediafinal_unet_e120_zoo,practical,changed,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
kvasir_seg_mediafinal_unet_e120_zoo,practical,geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
kvasir_seg_mediafinal_unet_e120_zoo,strict,change_plus_geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
kvasir_seg_mediafinal_unet_e120_zoo,strict,changed,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
kvasir_seg_mediafinal_unet_e120_zoo,strict,geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
ph2_mediafinal_unet_e120,practical,change_plus_geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
ph2_mediafinal_unet_e120,practical,changed,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
ph2_mediafinal_unet_e120,practical,geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
ph2_mediafinal_unet_e120,strict,change_plus_geom,"+0.0000 [+0.0000, +0.0000]","0.0000 [0.0000, 0.0000]","+0.0000 [+0.0000, +0.0000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",host
