setting,bound,risk_score,action,cal_gain,cal_harm,cal_harmed_rate,ucb_harmed_rate,cal_drop_gt_0.05,ucb_drop_gt_0.05,cal_mean_harm,ucb_mean_harm,failed
ISIC / UNet,clopper_pearson,change_plus_geom,isic2018_task1_mediafinal_unet_e120_zoo:prob_gaussian_lcc:a2.00,+0.0024,0.0002,0.252,0.343,0.000,0.023,0.0002,0.1088,"harm_rate,mean_harm"
ISIC / UNet,clopper_pearson,changed,isic2018_task1_mediafinal_unet_e120_zoo:prob_gaussian_lcc:a2.00,+0.0028,0.0006,0.278,0.368,0.002,0.027,0.0006,0.1065,"harm_rate,mean_harm"
ISIC / UNet,clopper_pearson,geom,isic2018_task1_mediafinal_unet_e120_zoo:prob_gaussian_lcc:a2.00,+0.0024,0.0002,0.250,0.341,0.000,0.023,0.0002,0.1088,"harm_rate,mean_harm"
ISIC / UNet,clopper_pearson,host_uncertainty,isic2018_task1_mediafinal_unet_e120_zoo:prob_gaussian_lcc:a2.00,+0.0024,0.0001,0.218,0.306,0.000,0.024,0.0001,0.1094,"harm_rate,mean_harm"
ISIC / UNet,empirical_bernstein,change_plus_geom,isic2018_task1_mediafinal_unet_e120_zoo:prob_gaussian_lcc:a2.00,+0.0024,0.0002,0.252,0.428,0.000,0.077,0.0002,0.0778,"harm_rate,mean_harm"
ISIC / UNet,empirical_bernstein,changed,isic2018_task1_mediafinal_unet_e120_zoo:prob_gaussian_lcc:a2.00,+0.0028,0.0006,0.278,0.451,0.002,0.086,0.0006,0.0755,"harm_rate,mean_harm"
ISIC / UNet,empirical_bernstein,geom,isic2018_task1_mediafinal_unet_e120_zoo:prob_gaussian_lcc:a2.00,+0.0024,0.0002,0.250,0.426,0.000,0.077,0.0002,0.0778,"harm_rate,mean_harm"
ISIC / UNet,empirical_bernstein,host_uncertainty,isic2018_task1_mediafinal_unet_e120_zoo:prob_gaussian_lcc:a2.00,+0.0024,0.0001,0.218,0.391,0.000,0.078,0.0001,0.0785,"harm_rate,mean_harm"
ISIC / UNet,hoeffding,change_plus_geom,isic2018_task1_mediafinal_unet_e120_zoo:prob_gaussian_lcc:a2.00,+0.0024,0.0002,0.252,0.361,0.000,0.109,0.0002,0.1088,"harm_rate,drop05_rate,mean_harm"
ISIC / UNet,hoeffding,changed,isic2018_task1_mediafinal_unet_e120_zoo:prob_gaussian_lcc:a2.00,+0.0028,0.0006,0.278,0.384,0.002,0.108,0.0006,0.1065,"harm_rate,drop05_rate,mean_harm"
ISIC / UNet,hoeffding,geom,isic2018_task1_mediafinal_unet_e120_zoo:prob_gaussian_lcc:a2.00,+0.0024,0.0002,0.250,0.359,0.000,0.109,0.0002,0.1088,"harm_rate,drop05_rate,mean_harm"
ISIC / UNet,hoeffding,host_uncertainty,isic2018_task1_mediafinal_unet_e120_zoo:prob_gaussian_lcc:a2.00,+0.0024,0.0001,0.218,0.327,0.000,0.109,0.0001,0.1094,"harm_rate,drop05_rate,mean_harm"
Kvasir / GraphSeg,clopper_pearson,change_plus_geom,kvasir_seg_mediafinal_graphseg_e120_zoo:binary_morph:a11.00,+0.0220,0.0020,0.120,0.323,0.013,0.156,0.0020,0.2606,"harm_rate,drop05_rate,mean_harm"
Kvasir / GraphSeg,clopper_pearson,changed,kvasir_seg_mediafinal_graphseg_e120_zoo:prob_gaussian_lcc:a1.25,+0.0058,0.0012,0.040,0.205,0.013,0.156,0.0012,0.2595,"drop05_rate,mean_harm"
Kvasir / GraphSeg,clopper_pearson,geom,kvasir_seg_mediafinal_graphseg_e120_zoo:binary_morph:a11.00,+0.0220,0.0020,0.120,0.323,0.013,0.156,0.0020,0.2606,"harm_rate,drop05_rate,mean_harm"
Kvasir / GraphSeg,clopper_pearson,host_uncertainty,kvasir_seg_mediafinal_graphseg_e120_zoo:binary_morph:a11.00,+0.0150,0.0058,0.133,0.341,0.053,0.228,0.0058,0.2649,"harm_rate,drop05_rate,mean_harm"
Kvasir / GraphSeg,empirical_bernstein,change_plus_geom,kvasir_seg_mediafinal_graphseg_e120_zoo:binary_morph:a11.00,+0.0220,0.0020,0.120,0.742,0.013,0.521,0.0020,0.4521,"harm_rate,drop05_rate,mean_harm"
Kvasir / GraphSeg,empirical_bernstein,changed,kvasir_seg_mediafinal_graphseg_e120_zoo:prob_gaussian_lcc:a1.25,+0.0058,0.0012,0.040,0.591,0.013,0.520,0.0012,0.4500,"harm_rate,drop05_rate,mean_harm"
Kvasir / GraphSeg,empirical_bernstein,geom,kvasir_seg_mediafinal_graphseg_e120_zoo:binary_morph:a11.00,+0.0220,0.0020,0.120,0.742,0.013,0.521,0.0020,0.4521,"harm_rate,drop05_rate,mean_harm"
Kvasir / GraphSeg,empirical_bernstein,host_uncertainty,kvasir_seg_mediafinal_graphseg_e120_zoo:binary_morph:a11.00,+0.0150,0.0058,0.133,0.765,0.053,0.623,0.0058,0.4654,"harm_rate,drop05_rate,mean_harm"
Kvasir / GraphSeg,hoeffding,change_plus_geom,kvasir_seg_mediafinal_graphseg_e120_zoo:binary_morph:a11.00,+0.0220,0.0020,0.120,0.379,0.013,0.272,0.0020,0.2606,"harm_rate,drop05_rate,mean_harm"
Kvasir / GraphSeg,hoeffding,changed,kvasir_seg_mediafinal_graphseg_e120_zoo:prob_gaussian_lcc:a1.25,+0.0058,0.0012,0.040,0.298,0.013,0.272,0.0012,0.2595,"harm_rate,drop05_rate,mean_harm"
Kvasir / GraphSeg,hoeffding,geom,kvasir_seg_mediafinal_graphseg_e120_zoo:binary_morph:a11.00,+0.0220,0.0020,0.120,0.379,0.013,0.272,0.0020,0.2606,"harm_rate,drop05_rate,mean_harm"
Kvasir / GraphSeg,hoeffding,host_uncertainty,kvasir_seg_mediafinal_graphseg_e120_zoo:binary_morph:a11.00,+0.0150,0.0058,0.133,0.392,0.053,0.312,0.0058,0.2649,"harm_rate,drop05_rate,mean_harm"
Kvasir / UNet,clopper_pearson,change_plus_geom,kvasir_seg_mediafinal_unet_e120_zoo:remove_small:a250.00,+0.0010,0.0003,0.173,0.389,0.000,0.125,0.0003,0.2583,"harm_rate,drop05_rate,mean_harm"
