setting,risk_score,bound,action,threshold,cal_gain,cal_harm,cal_harmed_rate,ucb_harmed_rate,cal_drop_gt_0.05,ucb_drop_gt_0.05,cal_mean_harm,ucb_mean_harm,failed
ISIC / UNet,change_plus_geom,hoeffding,isic2018_task1_mediafinal_unet_e120_zoo:prob_gaussian_lcc:a2.00,0.2312,+0.0024,0.0002,0.252,0.361,0.000,0.109,0.0002,0.1088,"harm_rate,drop05_rate,mean_harm"
ISIC / UNet,changed,hoeffding,isic2018_task1_mediafinal_unet_e120_zoo:prob_gaussian_lcc:a2.00,0.0379,+0.0028,0.0006,0.278,0.384,0.002,0.108,0.0006,0.1065,"harm_rate,drop05_rate,mean_harm"
ISIC / UNet,geom,hoeffding,isic2018_task1_mediafinal_unet_e120_zoo:prob_gaussian_lcc:a2.00,0.2140,+0.0024,0.0002,0.250,0.359,0.000,0.109,0.0002,0.1088,"harm_rate,drop05_rate,mean_harm"
ISIC / UNet,host_uncertainty,hoeffding,isic2018_task1_mediafinal_unet_e120_zoo:prob_gaussian_lcc:a2.00,0.2718,+0.0024,0.0001,0.218,0.327,0.000,0.109,0.0001,0.1094,"harm_rate,drop05_rate,mean_harm"
Kvasir / GraphSeg,change_plus_geom,hoeffding,kvasir_seg_mediafinal_graphseg_e120_zoo:binary_morph:a11.00,0.5720,+0.0220,0.0020,0.120,0.379,0.013,0.272,0.0020,0.2606,"harm_rate,drop05_rate,mean_harm"
Kvasir / GraphSeg,changed,hoeffding,kvasir_seg_mediafinal_graphseg_e120_zoo:prob_gaussian_lcc:a1.25,0.0197,+0.0058,0.0012,0.040,0.298,0.013,0.272,0.0012,0.2595,"harm_rate,drop05_rate,mean_harm"
Kvasir / GraphSeg,geom,hoeffding,kvasir_seg_mediafinal_graphseg_e120_zoo:binary_morph:a11.00,0.5183,+0.0220,0.0020,0.120,0.379,0.013,0.272,0.0020,0.2606,"harm_rate,drop05_rate,mean_harm"
Kvasir / GraphSeg,host_uncertainty,hoeffding,kvasir_seg_mediafinal_graphseg_e120_zoo:binary_morph:a11.00,0.6168,+0.0150,0.0058,0.133,0.392,0.053,0.312,0.0058,0.2649,"harm_rate,drop05_rate,mean_harm"
Kvasir / UNet,change_plus_geom,hoeffding,kvasir_seg_mediafinal_unet_e120_zoo:remove_small:a250.00,0.2065,+0.0010,0.0003,0.173,0.431,0.000,0.258,0.0003,0.2583,"harm_rate,drop05_rate,mean_harm"
Kvasir / UNet,changed,hoeffding,kvasir_seg_mediafinal_unet_e120_zoo:binary_morph:a3.00,0.0115,+0.0027,0.0002,0.240,0.497,0.000,0.257,0.0002,0.2567,"harm_rate,drop05_rate,mean_harm"
Kvasir / UNet,geom,hoeffding,kvasir_seg_mediafinal_unet_e120_zoo:remove_small:a250.00,0.2045,+0.0010,0.0003,0.173,0.431,0.000,0.258,0.0003,0.2583,"harm_rate,drop05_rate,mean_harm"
