alpha,changed,component_delta,cpd,cup,cup_area_delta,cup_centroid_shift,cup_changed,cup_disc_ratio_delta,disc,disc_area_delta,disc_centroid_shift,disc_changed,geom_risk,host_confidence,host_entropy,host_margin,id,idx,iou,method
0.0,0.0,0,4.149377576143661e-09,4.149377576143661e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998420238494873,0.005678651864010179,0.9968403577804565,la_005_z038,142,4.149377576143661e-09,host
3.0,0.0012186854338842976,3,1.1111110987654323e-08,1.1111110987654323e-08,0.0,0.0,0.0,0.0,0.0,0.0012186854338842976,0.03198835640847615,0.0012186854338842976,0.040434459969887634,0.998420238494873,0.005678651864010179,0.9968403577804565,la_005_z038,142,1.1111110987654323e-08,binary_morph
3.0,0.0,0,4.149377576143661e-09,4.149377576143661e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998420238494873,0.005678651864010179,0.9968403577804565,la_005_z038,142,4.149377576143661e-09,close_only
3.0,0.00016141528925619835,0,4.524886857353453e-09,4.524886857353453e-09,0.0,0.0,0.0,0.0,0.0,0.00016141528925619846,0.001560518528911904,0.00016141528925619835,0.0007129602107403727,0.998420238494873,0.005678651864010179,0.9968403577804565,la_005_z038,142,4.524886857353453e-09,open_close
5.0,0.0012509684917355371,3,1.1111110987654323e-08,1.1111110987654323e-08,0.0,0.0,0.0,0.0,0.0,0.0012186854338842976,0.031808740815880206,0.0012509684917355371,0.04042183912958988,0.998420238494873,0.005678651864010179,0.9968403577804565,la_005_z038,142,1.1111110987654323e-08,binary_morph
5.0,0.00010491993801652893,1,3.937007858515717e-09,3.937007858515717e-09,0.0,0.0,0.0,0.0,0.0,0.00010491993801652901,0.0004620311893924426,0.00010491993801652893,0.010325347673381169,0.998420238494873,0.005678651864010179,0.9968403577804565,la_005_z038,142,3.937007858515717e-09,close_only
5.0,0.0003551136363636364,1,5.025125602888816e-09,5.025125602888816e-09,0.0,0.0,0.0,0.0,0.0,0.0003389721074380165,0.003106029605832309,0.0003551136363636364,0.01147059314525973,0.998420238494873,0.005678651864010179,0.9968403577804565,la_005_z038,142,5.025125602888816e-09,open_close
7.0,0.0013316761363636363,3,1.1363636234504133e-08,1.1363636234504133e-08,0.0,0.0,0.0,0.0,0.0,0.0012348269628099174,0.03121949553658007,0.0013316761363636363,0.040371376983318566,0.998420238494873,0.005678651864010179,0.9968403577804565,la_005_z038,142,1.1363636234504133e-08,binary_morph
7.0,0.0002340521694214876,3,3.7037036899862825e-09,3.7037036899862825e-09,0.0,0.0,0.0,0.0,0.0,0.0002340521694214877,0.0016101113980794752,0.0002340521694214876,0.03087063218836284,0.998420238494873,0.005678651864010179,0.9968403577804565,la_005_z038,142,3.7037036899862825e-09,close_only
7.0,0.0015415160123966943,3,1.9999999600000007e-08,1.9999999600000007e-08,0.0,0.0,0.0,0.0,0.0,0.0015415160123966943,0.03439909875769643,0.0015415160123966943,0.041682806714217494,0.998420238494873,0.005678651864010179,0.9968403577804565,la_005_z038,142,1.9999999600000007e-08,open_close
9.0,0.001662577479338843,3,1.75438593413358e-08,1.75438593413358e-08,0.0,0.0,0.0,0.0,0.0,0.0014850206611570248,0.028699430593654023,0.001662577479338843,0.040322455788909375,0.998420238494873,0.005678651864010179,0.9968403577804565,la_005_z038,142,1.75438593413358e-08,binary_morph
9.0,0.000589165805785124,3,3.184713365653779e-09,3.184713365653779e-09,0.0,0.0,0.0,0.0,0.0,0.0005891658057851237,0.00328906187149554,0.000589165805785124,0.03200059707944413,0.998420238494873,0.005678651864010179,0.9968403577804565,la_005_z038,142,3.184713365653779e-09,close_only
9.0,0.0019450542355371901,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0019450542355371901,0.7329458239108946,0.0019450542355371901,0.22712656444879803,0.998420238494873,0.005678651864010179,0.9968403577804565,la_005_z038,142,1.0,open_close
11.0,0.0019450542355371901,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0019450542355371901,0.7329458239108946,0.0019450542355371901,0.22712656444879803,0.998420238494873,0.005678651864010179,0.9968403577804565,la_005_z038,142,1.0,binary_morph
11.0,0.0006456611570247934,3,3.1152647878029135e-09,3.1152647878029135e-09,0.0,0.0,0.0,0.0,0.0,0.0006456611570247932,0.0034640380407805287,0.0006456611570247934,0.03215733182424472,0.998420238494873,0.005678651864010179,0.9968403577804565,la_005_z038,142,3.1152647878029135e-09,close_only
11.0,0.0019450542355371901,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0019450542355371901,0.7329458239108946,0.0019450542355371901,0.22712656444879803,0.998420238494873,0.005678651864010179,0.9968403577804565,la_005_z038,142,1.0,open_close
0.0,0.0,0,4.149377576143661e-09,4.149377576143661e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998420238494873,0.005678651864010179,0.9968403577804565,la_005_z038,142,4.149377576143661e-09,fill_holes
0.0,0.0012025439049586776,3,1.0869565099243857e-08,1.0869565099243857e-08,0.0,0.0,0.0,0.0,0.0,0.0012025439049586778,0.03190587160103954,0.0012025439049586776,0.040381555710177236,0.998420238494873,0.005678651864010179,0.9968403577804565,la_005_z038,142,1.0869565099243857e-08,largest_cc
0.0,0.0012025439049586776,3,1.0869565099243857e-08,1.0869565099243857e-08,0.0,0.0,0.0,0.0,0.0,0.0012025439049586778,0.03190587160103954,0.0012025439049586776,0.040381555710177236,0.998420238494873,0.005678651864010179,0.9968403577804565,la_005_z038,142,1.0869565099243857e-08,lcc_fill
