alpha,changed,component_delta,cpd,cup,cup_area_delta,cup_centroid_shift,cup_changed,cup_disc_ratio_delta,disc,disc_area_delta,disc_centroid_shift,disc_changed,geom_risk,host_confidence,host_entropy,host_margin,id,idx,iou,method
0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,host
3.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,binary_morph
3.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,close_only
3.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,open_close
5.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,binary_morph
5.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,close_only
5.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,open_close
7.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,binary_morph
7.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,close_only
7.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,open_close
9.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,binary_morph
9.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,close_only
9.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,open_close
11.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,binary_morph
11.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,close_only
11.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,open_close
0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,fill_holes
0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,largest_cc
0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,lcc_fill
25.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,remove_small
50.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,remove_small
100.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,remove_small
250.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,remove_small
0.75,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,prob_gaussian
0.75,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,prob_gaussian_lcc
1.25,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,prob_gaussian
1.25,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,prob_gaussian_lcc
2.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,prob_gaussian
2.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999861121177673,0.00012595096675667626,0.999972403049469,la_005_z038,142,1.0,prob_gaussian_lcc
